AS58449,PT Nusa Satu Inti Artha
AS59339,BLACKBIRD IT PTY LTD
AS12990,Ringier Axel Springer Polska Sp. z o.o.
AS17537,HKBN JOS Synergy (HK) Limited
AS18365,PT Gramedia Asri Media
AS51735,"Pernod Ricard Slovenija, Trgovina in storitve, d.o.o."
AS3298,Societe Generale S.A.
AS206713,France Televisions SA
AS9159,Credit Agricole SA
AS262303,eCentry Tecnologia da Informacao Ltda
AS29264,GROUPE CANAL+ S.A.
AS399647,Rumble USA Inc.
AS62955,"eBay, Inc"
AS134220,UFONE
AS47764,LLC VK (Mail.ru)
AS215444,MOA Group GmbH
AS152772,PT Prosperita Sistem Indonesia
AS394456,Epik LLC
AS43037,"Seznam.cz, a.s."
AS29601,UPM-Kymmene Oyj
AS23058,Discovery Health
AS32590,Valve Corporation
AS15790,Finanz Informatik GmbH & Co. KG
AS9099,Finanz Informatik GmbH & Co. KG
AS203491,"Estoril Sol Digital, Online Gaming Products And Services, S.A."
AS27910,Banco Industrial
AS29647,HINA - Hrvatska Izvjestajna Novinska Agencija
AS8528,RENAULT SAS
AS139986,PT Henan Putihrai Sekuritas
AS214792,Hamburger Hochbahn AG
AS46022,PT Aliansi Sakti
AS18437,"Pitt-Ohio Express, LLC."
AS214710,nLogic AS
AS161,Texas Instruments Incorporated
AS2562,Texas Instruments Incorporated
AS38498,Bank Maybank Indonesia
AS205037,Kisters AG
AS13014,Hewlett Packard France S.A.S.
AS13013,Hewlett Packard France S.A.S.
AS12811,Auchan Retail International SA
AS12696,AXA Technology Services France GIE
AS12565,GROUPE LDLC SA
AS44534,YANDEX LLC
AS11106,"Wolfram Research, Inc."
AS44022,Barclays Bank PLC
AS140415,PT Jasamarga Tollroad Operator
AS54528,"Richie Software USA, Inc."
AS60350,VENTE-PRIVEE.COM SA
AS35574,IGT LOTTERY S.P.A.
AS12748,IAV GmbH Ingenieurgesellschaft Auto und Verkehr
AS210333,Inter Krankenversicherung AG
AS201126,CDW Ltd
AS48821,Mauve Mailorder Software Verwaltung GmbH
AS24730,Garnier Projects BV
AS207063,"Kentik Technologies, Inc."
AS5091,"Stripe, Inc."
AS25428,Colruyt Group NV
AS153129,PT Cashlez Worldwide Indonesia Tbk
AS48972,BetterBe B.V.
AS397700,LXXIX Project Lab LLC
AS38494,PT Bakrie & Brothers Tbk
AS11652,"Kaiser Aluminum Fabricated Products, L.L.C."
AS205627,Daimler Truck AG
AS28979,dm-drogerie markt GmbH + Co. KG
AS206141,Duisburger Versorgungs- und Verkehrsgesellschaft mbH
AS34409,Polska Press Sp. z o.o.
AS205111,ZOHO Corporation B.V
AS49670,Insta DefSec Oy
AS12678,Greysom Limited
AS23820,"Rakuten Group, Inc."
AS16080,Payplug Enterprise SAS
AS56938,MAGNUM MEDICAL SIA
AS201673,"""Verifone Baltic"" SIA"
AS20681,Saxo Bank A/S
AS204130,"DLV, sia"
AS210668,SIA Spotrix
AS29470,RETN Moscow
AS61013,Alliander N.V.
AS57946,RPH Business Support AS
AS133843,PT Bank Rakyat Indonesia (Persero) Tbk
AS10273,Florida Power & Light Company
AS38381,TravelSky Technology Limited
AS24430,China Post
