AS31195,PJSC MegaFon
AS29975,Vodacom
AS28884,MTS PJSC
AS28509,izzi Telecom
AS28220,Alares Internet
AS24812,NPK Home-Net Ltd.
AS24691,"TogoTelecom, Togo"
AS202940,ITC NG ltd
AS20207,Gigared S.A.
AS17849,SK Broadband Co Ltd
AS17622,China Unicom Guangdong Province Network
AS16246,"O2 Czech Republic, a.s."
AS16223,"MAXNET TELECOM, LTD"
AS15146,Cable Bahamas
AS136557,Host Universal Pty Ltd
AS136334,Vortex Netsol Private Limited
AS11845,Vox Telecom Ltd
AS10143,Exetel Pty Ltd
AS9919,"New Century InfoComm Tech Co., Ltd."
AS9762,HYUNDAI COMMUNICATIONS   NETWORK
AS9595,NTT-ME Corporation
AS9471,ONATI
AS9031,EDPNET Belgium BV
AS8636,MAXnet Systems Ltd.
AS5713,Telkom SA Ltd.
AS53913,City Wide Communications Inc.
AS50542,"JSC ""ER-Telecom Holding"""
AS49628,LLC Skytel
AS49218,Nizhnetagilskie Kompyuternye Seti LLC
AS47589,VIVA Kuwait (STC)
AS47438,Pskovline Ltd.
AS44489,"STARNET, s.r.o."
AS43966,"OOO ""IT-Region"""
AS42841,ANTIK Telecom s.r.o
AS42148,Beirel Telecom LLC
AS41435,UnderNet LLC
AS41275,Lovitel LLC
AS40029,Novus Entertainment Inc.
AS39087,P.A.K.T LLC
AS34295,Geo BG Net SPLtd.
AS31250,Vivacom Bulgaria EAD
AS29582,Optisprint OOD
AS28787,Baku Telephone Communication LLC
AS28210,GIGA MAIS FIBRA TELECOMUNICACOES S.A.
AS27884,CABLECOLOR S.A.
AS24589,Telenet SIA
AS24389,GP (GrameenPhone Ltd)
AS23563,SK Broadband Co Ltd
AS23089,Hotwire Communications
AS22724,PUNTONET S.A.
AS20807,"JSC ""ER-Telecom Holding"""
AS19863,Guyana Telephone & Telegraph Co.
AS18144,"Enecom,Inc."
AS18106,Viewqwest Pte Ltd
AS16735,Algar Telecom
AS16160,"SWAN, a.s."
AS15600,Quickline AG
AS13306,Unics EOOD
AS12843,TelemaxX Telekommunikation GmbH
AS9689,SK Broadband Co Ltd
AS9644,SK Telecom
AS9145,EWE TEL GmbH
AS8448,CETIN Hungary Zrt.
AS7524,"ITEC HANKYU HANSHIN CO.,LTD."
AS7459,"Grande Communications Networks, LLC"
AS6407,Primus Telecommunications Canada Inc.
AS55850,Mercury NZ Limited
AS5390,Euronet Communications B.V.
AS51784,"""X-City"" Ltd."
AS50477,Svyaz-Energo Ltd.
AS48917,Optinet Ltd
AS48190,T2 Mobile LLC
AS48092,T2 Mobile LLC
AS47895,"LTD ""Erline"""
AS47626,"Timer, LLC"
AS47165,Omskie kabelnye seti Ltd.
AS45775,WISH NET PRIVATE LIMITED
AS44143,A1 Srbija d.o.o.
AS44056,Trytek LLC
AS44050,Petersburg Internet Network ltd.
AS42116,"JSC ""ER-Telecom Holding"""
AS41750,Mega-Line Ltd.
AS41704,"JSC ""Ufanet"""
AS39007,"UAB ""Balticum TV"""
AS38917,INTERCOMTEL Limited Company
AS37680,Cool Ideas Service Provider (Pty) Ltd
AS36994,Vodacom
