AS211309,Obos Nett AS
AS150034,FOFO NETWORKS PVT LTD
AS1764,Next Layer Telecommunications
AS134655,PT Dumai Mandiri Net
AS17769,PT Indo Pratama Teleglobal
AS397732,"Net Vision Communications, LLC"
AS270138,Airfaster S.A. de C.V.
AS4515,PCCW IMS Ltd (PCCW Business Internet Access)
AS138112,PT Megarap Mitra Solusi
AS15081,Omni Fiber
AS15541,Marcin Bochenek trading as CETI s.c.
AS49102,Connected sp. z o. o.
AS57152,TEKNET VERI MERKEZI HIZMETLERI A.S.
AS399898,Conexon Connect
AS8386,Vodafone Turkey
AS149404,PT Cepat Multi Data
AS215423,FIFTH GENERTION NEW AGE LTD
AS138117,PT Solusindo Basis Teknologi
AS140413,PT Gayuh Media Informatika
AS60641,HEXATEL SAS
AS51978,WEMACOM Telekommunikation GmbH
AS151995,PT Wifipedia Sinergi Telematika
AS211501,High Tide Group Limited
AS61049,Exascale Limited
AS398872,Big Wifi
AS150554,PT Jaringan Tiang Indonesia Group
AS327824,Converged Telecoms
AS36916,X-DSL Networking Solutions
AS8167,V.tal
AS139409,PT Jernih Multi Komunikasi
AS139963,PT Murni Makmur Abadi
AS263801,LINKEAR SRL
AS328866,NEWTELNET CAMEROUN SAS
AS327872,IBITS Internet (pty) Ltd
AS28685,Routit BV
AS208041,Rafal Rajba trading as INTERTELL
AS151326,DCConnect Communication Pte. Ltd.
AS150204,PT Fastlink Koneksi Indonesia
AS61832,Giga+ Empresas
AS61745,NBS Telecom
AS61884,Ollá Telecom
AS262907,Brasil TecPar
AS7738,V.tal
AS4230,Claro (Embratel)
AS26244,Bowling Green Municipal Utilities
AS16735,Algar Telecom
AS28126,BRISANET SERVICOS DE TELECOMUNICACOES S.A
AS53013,W I X NET DO BRASIL LTDA - ME
AS10429,TELEFÔNICA BRASIL S.A
AS38511,PT Remala Abadi Tbk
AS52320,V.tal (GlobeNet)
AS266475,Sem Fronteiras
AS262253,Fiberlux
AS147094,PT Mitra Visioner Pratama
AS329103,NINETEC SARL
AS263142,Route Way Telecomunicações LTDA ME
AS269988,BINET NETWORKING DATA LIMITADA
AS151549,PT Sarana Kawan Setia
AS58495,PT Parsaoran Global Datatrans
AS137991,Lifeway Singapore Pte. Ltd.
AS136176,Cyber Solutions BD
AS149319,PT Trisna Mega Abadi
AS18056,PT Mithaharum Abadi
AS202246,Valoo Oy
AS142347,PT Sarana Media Cemerlang
AS152349,PT Majapahit Network Indonesia
AS205806,Stadtwerke Neustrelitz GmbH
AS151538,PT Flashnet Inovasi Teknologi
AS142325,PT Teralink Djava Multimedia
AS140429,PT Media Distribusi Prima
AS38515,PT Grahamedia Informasi
AS28683,SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES
AS138134,PT Tunas Link Indonesia
AS140031,PT Mandala Lintas Nusa
AS61461,Airtek Solutions C.A.
AS56309,"Siamdata Communication Co.,Ltd."
AS136121,PT Digital Media Telematika
AS132669,PT Globalnet Multi Data
AS140446,PT Kingpolah Network Solutions
AS271102,Master Link Net - ME
AS46687,"BCI Mississippi Broadband,LLC"
AS7600,EscapeNet Pty Ltd
AS328585,MegaMore Wireless Broadband Limited
AS262713,LIDERI TELECOM
AS5650,Frontier Communications
AS273120,"TECNOLOGÍA, INFORMACIÓN Y COMUNICACIONES DE COLOMBIA SAS (TICCOL)"
AS273103,TV&MÁS S.A.S
AS2519,ARTERIA Networks Corporation
AS3399,Obenet AB
AS139623,My Net Pty Ltd
AS25482,"Private Enterprise ""Law Firm ""Status"""
AS20910,"SIA ""BITE Latvija"""
AS24651,JSC BALTICOM
AS5518,SIA Tet
AS136217,MOON NET
AS2588,"SIA ""BITE Latvija"""
AS13194,"UAB ""Bite Lietuva"""
AS8194,Latvia State Radio and Television Centre
AS270359,iXnet Fibra
AS24645,"CSC Telecom, UAB"
AS34326,CSC Telecom SIA
AS53828,"NETWORK INNOVATIONS, LLC"
AS140437,PT Media Manakarra Net
AS141596,PT Wistel Teknologi Solusi
AS24204,PT Satnetcom Balikpapan
AS133352,PT Berdikari Prima Mandiri
AS137343,PT Khazanah Media Network Nusantara
AS138093,PT Lintasmaya Multi Media
AS131767,PT Solo Jala Buana
AS64073,Vetta Online Ltd
AS151992,PT Jet Cyber Network Nusantara
AS3737,PenTeleData Inc.
AS137349,PT Gemilang Sarana Mandiri
AS141639,PT Lintas Satu Visi
AS38264,Wateen Telecom
AS152080,PT Fixy Sinergi Nusantara
AS150959,PT SSR Digital Informatika
AS150557,PT HASIBUAN TELEKOMUNIKASI INDONESIA
AS149944,PT Dak Kite Kih Nabil
AS150261,PT Cybermedia Network Nusantara
AS203971,AzFiberNet Ltd.
AS50959,BEEONLINE OJSC
AS138823,PT Trimitra Usaha Sejahtera
AS141114,PT Super Media Indonesia
AS12741,Netia SA
AS55652,PT Sumidhaz Permata Bunda
AS149687,PT Syawal Atlantik System
AS139988,PT Garuda Prima Internetindo
AS137344,PT Trans Nasional Teknologi
AS38143,PT Rabik Bangun Pertiwi
AS265721,Cable Atlantico SRL
AS134090,Leaptel
AS8412,T-Mobile Austria GmbH
AS58553,PT 3D Tech
AS45294,PT Wanriau Indoxp
AS141595,PT Akbar Prima Media
AS136879,PT Media Jaringan Indonesia
AS7049,Silica Networks Argentina S.A.
AS149401,PT Sintesa Sinergi Nusantara
AS141145,PT Giga Digital Nusantara
AS142319,PT Telemedia Komunikasi Pratama
AS150193,PT Olean Permata Telematika
AS140007,PT Dankom Mitra Abadi
AS139831,DITO TELECOMMUNITY CORP.
AS149943,PT Ayodya Data Internusa
AS270757,VIPNET Provedor de Internet e Serviços de Telecom
AS56523,Marek Michałkiewicz
AS149744,PT Misqot Sejahtera Indonesia
AS152066,PT Nawal Informasi Media
AS140478,PT Hijrah Muara Sintesis
AS55690,PT Andira Infomedia
AS38500,PT Cross Network Indonesia
