AS3634,Stephen F. Austin State University
AS36375,University of Michigan
AS36391,TRIUMF INC.
AS36413,Loyola University Maryland
AS36441,University of Georgia
AS36450,University of Texas System Administration
AS3659,Claremont University Consortium
AS3661,The Chinese University of Hong Kong
AS36658,Angelo State University
AS36691,Colorado State University
AS36701,Stetson University
AS36748,St. Edwards University
AS3676,University of Iowa
AS3681,Florida International University
AS36831,Xavier University
AS3685,State University of New York at Buffalo
AS36850,University of North Carolina at Chapel Hill
AS36982,University of Cape Town
AS37010,National University of Rwanda
AS37077,American University of Nigeria - AUN (formerly AAUN)
AS37170,University of Lagos
AS37218,The University of Dodoma
AS37263,"University of Education, Winneba"
AS37297,"Obafemi Awolowo University, Ife"
AS37344,ZIMBABWE OPEN UNIVERSITY
AS37369,Nnamdi Azikiwe University
AS37373,Ashesi University College
AS37405,University of Nigeria
AS37420,University of JOS
AS37443,Usmanu Danfodiyo University
AS37496,Aga Khan University
AS37501,University of the Free State
AS37513,Namibia University of Science and Technology
AS37520,Rhodes University
AS37568,National University of Science and Technology
AS37686,Ahmadu Bello University Zaria Nigeria
AS3778,Temple University
AS378,IUCC - Israel InterUniversity Computation Center
AS3784,Pohang University of Science and Technology
AS3794,Texas A&M University
AS37992,Thammasat University in thailand
AS38,University of Illinois
AS3807,University of Montana
AS38083,Curtin University
AS3813,Sogang University
AS38280,Monash University Sunway Campus Malaysia
AS38305,The University of Otago
AS3839,Chulalongkorn University
AS39031,Khalifa University
AS39131,"State Educational Institution of higher professional Education ""Dagestan State University"""
AS393249,University of British Columbia
AS393251,Francis Marion University
AS393257,Lawrence University
AS393282,University of California at Berkeley
AS393289,Mercer University
AS393307,Cooper University Hospital
AS393337,The University of Hartford
AS393392,Pacific Northwest University of Health Sciences
AS393408,University of Portland
AS393468,Concordia University of Edmonton
AS3935,Eastern Washington University
AS393564,Washington State University
AS393657,Colorado Mesa University
AS393750,Truman State University
AS393875,"University of Mount Olive, Inc."
AS393966,Capilano University
AS394003,University of Massachusetts Dartmouth
AS394049,University of Wisconsin Hospital and Clinics
AS394137,Southern California University of Health Sciences
AS394170,Susquehanna University
AS394387,Virginia Union University
AS394391,Central Washington University
AS394395,Towson University
AS394688,Quinnipiac University
AS394698,Fitchburg State University
AS394769,University of Michigan - Flint
AS394797,Millikin University
AS394858,University of New Haven
AS39503,Peter the Great St. Petersburg Polytechnic University
AS395073,University of Mississippi Medical Center
AS395156,The King's University
AS395400,UNIVERSITY OF GUAM
AS395421,Oklahoma State University
