saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,success,sport,dport,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,udp_pkt_size,data,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
45.84.31.1,18830381,192.168.50.16,271755456,35761,52,udp,1,161.0,37023.0,,,,,108.0,3062020103300f02024a69020300ffe3040100020103041b3019040b8000000903a46c2aa27700020100020100040004000400302f040b8000000903a46c2aa277000400a81e020237f002010002010030123010060a2b060106030f01010400410229d4,0,0,2025-05-17T16:43:04.260+0200,1747492984,260047
178.237.59.78,1312550322,192.168.50.16,271755456,21883,57,udp,1,161.0,51000.0,,,,,109.0,3063020103300f02024a69020300ffe3040100020103041d301b040af5717f2cdde94ab27d000201090204013b460e040004000400302e040af5717f2cdde94ab27d000400a81e020237f002010002010030123010060a2b060106030f01010400410277ae,0,0,2025-05-17T16:43:04.260+0200,1747492984,260079
185.29.203.233,3922402745,192.168.50.16,271755456,0,56,udp,1,161.0,44989.0,,,,,110.0,3064020103300f02024a69020300ffe3040100020103041d301b040af5717f001c732145a00002010602040b73b8f5040004000400302f040af5717f001c732145a0000400a81f020237f002010002010030133011060a2b060106030f010104004103028654,0,0,2025-05-17T16:43:04.260+0200,1747492984,260112
113.212.72.1,21550193,192.168.50.16,271755456,1648,57,udp,1,161.0,54366.0,,,,,108.0,3062020103300f02024a69020300ffe3040100020103041c301a040980000a4c01b9ab3008020103020400db2203040004000400302e040980000a4c01b9ab30080400a81f020237f002010002010030133011060a2b060106030f010104004103545b58,0,0,2025-05-17T16:43:04.260+0200,1747492984,260154
62.179.31.22,371176254,192.168.50.16,271755456,15481,246,udp,1,161.0,50916.0,,,,,112.0,3066020103300e02024a69020205dc040100020103041f301d040c8000000903006c13d53a37300201100204011264bb0400040004003030040c8000000903006c13d53a37300400a81e020237f002010002010030123010060a2b060106030f0101040041020d7c,0,0,2025-05-17T16:43:04.260+0200,1747492984,260320
178.170.152.1,26782386,192.168.50.16,271755456,0,54,udp,1,161.0,53187.0,,,,,96.0,3056020103300f02024a69020300ffe304010402010304153013040580003a8c040201000201000400040004003029040580003a8c040400a81e020237f002010002010030123010060a2b060106030f01010400410238e1,0,0,2025-05-17T16:43:04.260+0200,1747492984,260365
193.28.62.54,910040257,192.168.50.16,271755456,10223,58,udp,1,161.0,43728.0,,,,,110.0,3064020103300f02024a69020300ffe3040100020103041d301b040af5717f001c73d617c500020105020402197805040004000400302f040af5717f001c73d617c5000400a81f020237f002010002010030133011060a2b060106030f0101040041030165fa,0,0,2025-05-17T16:43:04.260+0200,1747492984,260395
185.202.253.1,33409721,192.168.50.16,271755456,21722,53,udp,1,161.0,37416.0,,,,,115.0,3069020103300e02024a69020208000401000201030420301e040d80000634b20400001014ccd1960201020204073f538c0400040004003032040d80000634b20400001014ccd1960400a81f020237f002010002010030133011060a2b060106030f01010400410308c1c1,0,0,2025-05-17T16:43:04.260+0200,1747492984,260428
185.29.203.57,969612729,192.168.50.16,271755456,0,55,udp,1,161.0,47758.0,,,,,110.0,3064020103300f02024a69020300ffe3040100020103041d301b040af5717f001c731819d60002010602040b73b8da040004000400302f040af5717f001c731819d6000400a81f020237f002010002010030133011060a2b060106030f0101040041030238a5,0,0,2025-05-17T16:43:04.260+0200,1747492984,260475
37.140.232.1,32017445,192.168.50.16,271755456,1675,52,udp,1,161.0,54420.0,,,,,111.0,3065020103300e02024a6902021194040100020103041e301c040b800007c703cc4e244c0a00020115020409d3188b0400040004003030040b800007c703cc4e244c0a000400a81f020237f002010002010030133011060a2b060106030f01010400410300f076,0,0,2025-05-17T16:43:04.260+0200,1747492984,260536
89.22.192.1,29365849,192.168.50.16,271755456,50539,246,udp,1,161.0,43905.0,,,,,113.0,3067020103300e02024a6902020800040100020103041f301d040c00000009030000c16428a02002010c0204014c9f1e0400040004003031040c00000009030000c16428a0200400a81f020237f002010002010030133011060a2b060106030f010104004103009470,0,0,2025-05-17T16:43:04.260+0200,1747492984,260568
89.248.164.1,27588697,192.168.50.16,271755456,48932,55,udp,1,161.0,33899.0,,,,,110.0,3064020103300f02024a69020300ffe3040100020103041d301b040af5717f444ca8c41efb000201040204012b8dce040004000400302f040af5717f444ca8c41efb000400a81f020237f002010002010030133011060a2b060106030f010104004103097771,0,0,2025-05-17T16:43:04.260+0200,1747492984,260603
185.186.246.1,32946873,192.168.50.16,271755456,43696,55,udp,1,161.0,35522.0,,,,,113.0,3067020103300f02024a69020300ffe3040100020103041e301c040b80000a4c0388a25ee6560002010402040bd894840400040004003031040b80000a4c0388a25ee656000400a820020237f002010002010030143012060a2b060106030f01010400410401100024,0,0,2025-05-17T16:43:04.260+0200,1747492984,260725
81.173.44.8,137145681,192.168.50.16,271755456,43189,52,udp,1,161.0,37560.0,,,,,96.0,3056020103300f02024a69020300ffe304010002010304153013040580003a8c040201000201000400040004003029040580003a8c040400a81e020237f002010002010030123010060a2b060106030f01010400410201fd,0,0,2025-05-17T16:43:04.260+0200,1747492984,260757
193.108.69.1,21327041,192.168.50.16,271755456,33768,240,udp,1,161.0,34917.0,,,,,112.0,3066020103300e02024a69020205dc040100020103041f301d040c80000009030074860bbc3c800201080204021188410400040004003030040c80000009030074860bbc3c800400a81e020237f002010002010030123010060a2b060106030f01010400410249cd,0,0,2025-05-17T16:43:04.260+0200,1747492984,260782
154.14.126.187,3145600666,192.168.50.16,271755456,6958,245,udp,1,161.0,39450.0,,,,,114.0,3068020103300e02024a69020205dc040100020103041f301d040c8000000903002c3311e42d3f02010e02040963b5700400040004003032040c8000000903002c3311e42d3f0400a820020237f002010002010030143012060a2b060106030f010104004104054d6b2c,0,0,2025-05-17T16:43:04.260+0200,1747492984,260829
